frame,time_sec,timecode,gray_diff,hist_diff,edge_diff,composite
243,10.135,00:10.14,0.000182,0.007766,0.000417,0.00286
244,10.177,00:10.18,0.000701,0.012807,0.001991,0.005067
245,10.219,00:10.22,0.000683,0.013812,0.002384,0.005449
246,10.26,00:10.26,0.001266,0.012293,0.004306,0.005429
247,10.302,00:10.30,0.000463,0.009107,0.001505,0.003593
248,10.344,00:10.34,0.001631,0.015837,0.006204,0.00706
249,10.385,00:10.39,0.000396,0.011454,0.000718,0.004299
250,10.427,00:10.43,0.001302,0.013704,0.004468,0.005959
251,10.469,00:10.47,0.000168,0.003691,0.000185,0.001403
252,10.511,00:10.51,0.000641,0.008472,0.001759,0.003494
253,10.552,00:10.55,0.000344,0.009917,0.000486,0.003709
254,10.594,00:10.59,0.000791,0.011979,0.001597,0.004787
255,10.636,00:10.64,0.000633,0.011833,0.000417,0.004532
256,10.677,00:10.68,0.001585,0.011266,0.002685,0.005083
257,10.719,00:10.72,0.002156,0.017724,0.002407,0.00763
258,10.761,00:10.76,0.003663,0.025754,0.004931,0.011522
259,10.802,00:10.80,0.003724,0.024078,0.003981,0.010874
260,10.844,00:10.84,0.003798,0.019968,0.007454,0.009823
261,10.886,00:10.89,0.005056,0.024395,0.006551,0.011974
262,10.928,00:10.93,0.005277,0.025367,0.010208,0.012801
263,10.969,00:10.97,0.007789,0.036222,0.009005,0.017862
264,11.011,00:11.01,0.011167,0.030708,0.012431,0.018133
265,11.053,00:11.05,0.011368,0.027492,0.012338,0.017108
266,11.094,00:11.09,0.011001,0.027763,0.015509,0.017318
267,11.136,00:11.14,0.016352,0.035339,0.016759,0.023038
268,11.178,00:11.18,0.012724,0.024913,0.018657,0.017584
269,11.22,00:11.22,0.014653,0.025833,0.01706,0.018807
270,11.261,00:11.26,0.015556,0.029346,0.01912,0.020739
271,11.303,00:11.30,0.014463,0.028337,0.018449,0.019718
272,11.345,00:11.34,0.015576,0.031943,0.019676,0.021715
273,11.386,00:11.39,0.017073,0.027515,0.019884,0.021009
274,11.428,00:11.43,0.018608,0.033885,0.022292,0.024324
275,11.47,00:11.47,0.020564,0.035821,0.023704,0.026218
276,11.512,00:11.51,0.018602,0.039594,0.024468,0.026535
277,11.553,00:11.55,0.016368,0.027031,0.023796,0.020843
278,11.595,00:11.59,0.01815,0.031191,0.026065,0.023506
279,11.637,00:11.64,0.018316,0.028769,0.024838,0.022627
280,11.678,00:11.68,0.019512,0.025834,0.027384,0.022512
281,11.72,00:11.72,0.020224,0.026538,0.026574,0.023069
282,11.762,00:11.76,0.018956,0.027243,0.027824,0.022743
283,11.803,00:11.80,0.019954,0.033432,0.027454,0.025421
284,11.845,00:11.85,0.019414,0.030567,0.028727,0.024249
285,11.887,00:11.89,0.020077,0.025521,0.02956,0.022931
286,11.929,00:11.93,0.021182,0.037434,0.030926,0.027844
287,11.97,00:11.97,0.021464,0.03587,0.030833,0.027443
288,12.012,00:12.01,0.020385,0.049776,0.034907,0.032124
289,12.054,00:12.05,0.02522,0.032591,0.034282,0.028706
290,12.095,00:12.10,0.021833,0.046298,0.035,0.031712
291,12.137,00:12.14,0.022838,0.033254,0.032014,0.027401
292,12.179,00:12.18,0.024216,0.038129,0.035671,0.030231
293,12.221,00:12.22,0.025485,0.029287,0.035185,0.027786
294,12.262,00:12.26,0.021239,0.033446,0.034907,0.026878
295,12.304,00:12.30,0.025601,0.031636,0.033866,0.02854
296,12.346,00:12.35,0.02218,0.02583,0.037384,0.024978
297,12.387,00:12.39,0.028305,0.034153,0.034884,0.03101
298,12.429,00:12.43,0.023133,0.037422,0.036574,0.029478
299,12.471,00:12.47,0.025333,0.038284,0.035231,0.030856
300,12.513,00:12.51,0.017175,0.024436,0.033634,0.021362
301,12.554,00:12.55,0.021412,0.034596,0.030764,0.026962
302,12.596,00:12.60,0.017971,0.062256,0.034491,0.035122
303,12.638,00:12.64,0.023686,0.04793,0.029491,0.032752
304,12.679,00:12.68,0.019275,0.02376,0.032616,0.022179
305,12.721,00:12.72,0.018908,0.02838,0.028171,0.02315
306,12.763,00:12.76,0.018946,0.030399,0.030255,0.024086
307,12.804,00:12.80,0.021296,0.044149,0.024352,0.0296
308,12.846,00:12.85,0.015882,0.042886,0.02456,0.026201
309,12.888,00:12.89,0.015938,0.03877,0.019745,0.02431
